date,RF,Mkt-RF,SMB,HML,RMW,CMA,UMD,IA,ROE,EG,MGMT,PERF,PEAD,FIN
196307,0.27,-0.39,-0.41,-0.97,0.68,-1.18,0.9,,,,-1.7134513,-1.3391583,,
196308,0.25,5.07,-0.8,1.8,0.36,-0.35,1.01,,,,0.41486202,2.09280905,,
196309,0.27,-1.57,-0.52,0.13,-0.71,0.29,0.19,,,,0.8398419,0.839391,,
196310,0.29,2.53,-1.39,-0.1,2.8,-2.01,3.12,,,,-0.3751353,4.72126459,,
196311,0.27,-0.85,-0.88,1.75,-0.51,2.24,-0.74,,,,-1.4158352,-2.0970503,,
196312,0.29,1.83,-2.1,-0.02,0.03,-0.07,1.75,,,,0.86580404,1.0100875,,
196401,0.3,2.24,0.13,1.48,0.17,1.47,0.86,,,,0.59015435,3.62689535,,
196402,0.26,1.54,0.28,2.81,-0.05,0.91,0.26,,,,1.14599752,1.79862145,,
196403,0.31,1.41,1.23,3.4,-2.21,3.22,0.75,,,,5.14204136,2.09586302,,
196404,0.29,0.1,-1.52,-0.67,-1.27,-1.08,-0.58,,,,-0.7969255,-0.0054514,,
196405,0.26,1.42,-0.63,1.86,-0.16,0.17,2.57,,,,0.85168601,1.92072685,,
196406,0.3,1.27,0.29,0.62,-0.28,-0.17,0.46,,,,-2.5273748,-1.2696653,,
196407,0.3,1.74,0.5,0.75,0.08,1.91,-0.35,,,,1.76631727,-1.2363787,,
196408,0.28,-1.44,0.41,0.08,0.12,0.35,-0.22,,,,-0.6919205,-0.8885346,,
196409,0.28,2.69,-0.34,1.7,-0.56,0.62,-0.41,,,,1.2957959,-0.1572033,,
196410,0.29,0.59,0.87,1.17,-0.43,0.47,0.08,,,,0.38297769,-0.6235726,,
196411,0.29,0,-0.15,-1.96,0.63,-0.26,1.03,,,,0.82386641,-0.0977306,,
196412,0.31,0.03,-0.69,-2.48,1.07,-1.5,-0.74,,,,-1.8551516,-0.0817293,,
196501,0.28,3.54,2.44,0.12,0.91,0.1,-1.44,,,,-0.7873157,0.31369812,,
196502,0.3,0.44,3.31,0.11,0.23,-0.68,0.32,,,,-0.4723771,0.84417244,,
196503,0.36,-1.34,2.12,1.03,-0.32,0.69,0.15,,,,-0.3277285,-0.5296635,,
196504,0.31,3.11,1.05,0.66,0.3,-2.2,2.63,,,,-2.1635266,3.06795807,,
196505,0.31,-0.77,0.1,-1.61,-0.45,0.53,0.6,,,,0.6467603,-0.6759593,,
196506,0.35,-5.51,-4.28,0.59,0.22,0.37,-3.13,,,,0.67774637,-2.0463959,,
196507,0.31,1.43,1.08,2.2,-1.37,0.03,4.1,,,,1.00587578,2.01716589,,
196508,0.33,2.73,2.71,-1,1.9,-0.74,2.58,,,,-0.4058196,2.8406925,,
196509,0.31,2.86,0.62,-0.13,-0.89,0.8,3.3,,,,-0.1827136,1.53960827,,
196510,0.31,2.6,3.47,1.56,1.17,-0.65,3.46,,,,0.6248313,2.41760881,,
196511,0.35,-0.03,5.19,0.15,-1.01,-0.94,4.45,,,,2.18510953,2.35100944,,
196512,0.33,1.01,2.66,2.03,-1.14,-0.53,0.12,,,,-0.1699998,1.75543744,,
196601,0.38,0.72,4.68,3.56,-2.82,-0.11,5.39,,,,1.20157629,3.36702891,,
196602,0.35,-1.21,4.71,0.33,-0.17,-1.49,4.57,,,,-1.1984092,4.02743322,,
196603,0.38,-2.51,0.32,-1.98,1.3,0.06,1.42,,,,0.72239862,0.40727445,,
196604,0.34,2.14,3.35,-0.46,0.39,-0.95,6.28,,,,-0.1997962,4.22938813,,
196605,0.41,-5.66,-5.1,-1.63,1.64,-1.52,-4.7,,,,2.16702593,-2.5724732,,
196606,0.38,-1.44,1.37,0.5,0.15,0.78,3.25,,,,-0.9041076,1.52900447,,
196607,0.35,-1.63,-0.41,0.95,-0.36,1.79,-1.34,,,,0.64057113,-1.1827742,,
196608,0.41,-7.91,-3.12,0.43,-0.09,0.8,-2.14,,,,2.30494197,0.44237897,,
196609,0.4,-1.06,-1.14,0.56,-1.68,2.37,-1.84,,,,3.21083926,-3.0067747,,
196610,0.45,3.86,-6.45,2.69,-3.48,4.25,-5.26,,,,4.26352802,-7.8954491,,
196611,0.4,1.4,3.34,-4.69,4.13,-6.62,5.72,,,,-8.7284657,6.95330572,,
196612,0.4,0.13,2.02,-1.19,0.7,-0.34,1.06,,,,-0.8119125,-1.5607411,,
196701,0.43,8.15,9.1,2.27,0.96,-3.16,-6.93,-2.9263,1.8813,-2.5511,-3.933249,-1.5146181,,
196702,0.36,0.78,3.06,-2.22,1.99,-0.99,3.52,-0.2915,3.5399,2.1792,-2.5244353,3.04940405,,
196703,0.39,3.99,1.87,0.37,0.86,-1.6,1.53,-1.6772,1.8417,-1.1192,-2.4660872,3.66972755,,
196704,0.32,3.89,0.43,-2.48,2.33,-3.67,0.59,-2.8972,1.0253,-1.6371,-3.3276878,2.74648836,,
196705,0.33,-4.33,2.29,1.09,-1.73,1.73,0.72,2.1864,0.6038,0.1191,0.29151407,0.33724072,,
196706,0.27,2.41,6.43,0.85,-0.62,-2.42,6,-2.0958,0.4116,-0.2834,-4.5810486,5.58351921,,
196707,0.31,4.58,3.54,2.73,0.48,2.7,-1.07,2.3351,-0.5943,-0.1601,1.96255891,1.72673354,,
196708,0.31,-0.89,0.72,1.44,0.3,1.45,-1.38,1.9161,-0.6134,0.063,1.20126928,-0.2280235,,
196709,0.32,3.11,2.44,-2.5,0.2,-0.95,2.52,-0.4057,0.7524,-0.9213,-2.0779956,6.17910037,,
196710,0.39,-3.09,0.53,-3.3,1.01,-2.62,3.67,-2.4302,3.2851,0.224,-3.0843828,3.60251029,,
196711,0.36,0.37,-0.04,-1.7,1.34,-2.34,1.26,-2.7632,0.6936,0.0395,-2.7282971,-0.0764382,,
196712,0.33,3.05,5.75,-0.53,-0.81,0.13,3.25,0.1486,0.7001,1.7035,-1.0229071,0.2429881,,
196801,0.4,-4.06,4.51,4.8,-4.62,6.46,-4.7,4.732,-2.922,0.9691,6.51137454,-4.8690204,,
196802,0.39,-3.75,-2.91,1.28,-0.16,2.45,-3.43,2.4577,-0.5038,2.9672,4.1906722,-1.6973124,,
196803,0.38,0.2,-1.59,-0.59,1.05,-1.1,3.23,-0.7337,1.9245,1.4344,-1.627229,4.47256034,,
196804,0.43,9.05,6.18,-1.13,2.69,-3.65,5.09,-2.6749,3.6776,-1.8747,-6.3620156,6.39484763,,
196805,0.45,2.28,7,0.85,0.43,-1.92,3.8,-2.2351,2.0131,-0.2809,-2.7187226,3.88670181,,
196806,0.43,0.69,-0.28,0.73,-1.41,2.76,-1.9,2.4165,-0.3072,0.0598,2.91473633,-4.9000501,,
196807,0.48,-2.72,-1.41,5.39,-3.13,3.72,-0.88,2.7389,-1.9663,3.6103,4.16191938,-2.6666346,,
196808,0.42,1.34,2.27,1.01,-0.7,0.48,1.89,0.643,-0.6662,1.5939,-0.285753,2.45056544,,
196809,0.43,4.03,2.81,0.3,-1.99,0.87,-0.65,-0.5693,-3.4099,-1.082,-0.1292692,0.42891016,,
196810,0.44,0.42,-0.42,2.86,-1.32,2.7,-1.46,2.6082,0.4414,2.4953,2.8148368,-1.1100995,,
196811,0.42,5.43,2.39,-0.92,0.43,-2.43,1.75,-1.3424,-0.4038,-0.9692,-3.700427,-1.931346,,
196812,0.43,-3.94,3.52,-0.01,-1.86,1.76,-0.01,2.651,-0.6141,-0.4851,1.96475489,-0.2084797,,
196901,0.53,-1.25,-0.44,1.67,-1.55,1.38,-0.17,1.2085,-0.1173,0.2955,1.9893355,-3.1644742,,
196902,0.46,-5.84,-4.16,0.91,2.07,0.83,-2.36,0.7873,0.9745,2.2835,3.44488026,2.19471254,,
196903,0.46,2.64,-0.45,-0.51,-1.43,-0.35,3.97,0.5026,2.0353,2.5602,0.93345396,5.1775165,,
196904,0.53,1.46,-0.8,-0.03,0.41,0.06,1.13,0.5287,2.0202,-0.1537,-0.5801616,1.6444423,,
196905,0.48,-0.1,-0.11,0.7,-0.95,1.39,1.7,1.5413,0.1962,0.2109,0.87223316,0.92983813,,
196906,0.51,-7.18,-5.45,-1.08,4.32,-1.6,-2.3,-0.6301,3.3315,2.5267,3.33992189,3.44223562,,
196907,0.53,-7,-3.41,1.2,1.48,1.91,1.71,1.9907,2.0776,3.6224,3.69250578,1.78972294,,
196908,0.5,4.68,0.7,-3.79,1.13,-4.02,2.17,-2.654,0.5167,-2.0271,-7.3864813,3.68272197,,
196909,0.62,-2.98,1.29,-3.27,3.39,-0.82,2.52,0.0431,1.7208,2.6463,2.69273732,3.56033885,,
196910,0.6,5.06,3.96,-3.16,0.05,-2.15,-4.31,-1.4818,-1.4493,-1.6776,-2.728483,-3.085977,,
196911,0.52,-3.79,-2.45,-1.19,1.46,0.3,3.66,0.2112,2.8535,2.3906,0.53347389,5.01478422,,
196912,0.64,-2.63,-3.76,-2.86,2.54,-1.81,4.96,-0.6363,3.463,1.7306,1.0300328,4.8490466,,
197001,0.6,-8.1,3.12,3.13,-1.72,3.84,0.6,3.8252,-0.741,3.52,6.40923561,0.60828808,,
197002,0.62,5.13,-2.76,3.93,-2.29,2.76,0.23,1.6171,-2.2721,-0.2221,1.14585394,-3.2495882,,
197003,0.57,-1.06,-2.41,3.99,-1,4.29,-0.36,3.3852,-0.9683,3.2222,7.52818694,-0.1944602,,
197004,0.5,-11,-6.4,6.18,-0.64,6.21,-0.77,5.2928,0.1614,5.757,8.31422042,2.52629205,,
197005,0.53,-6.92,-4.48,3.33,-1.21,3.9,-2.78,3.2098,0.1132,3.9522,5.4276255,-1.3962296,,
197006,0.58,-5.79,-2.2,0.6,0.13,2.96,5.7,3.6689,2.4483,4.3742,6.12622842,7.40040184,,
197007,0.52,6.93,-0.62,0.9,-0.26,1.84,-3.14,2.6318,-0.3288,-0.9592,-0.0283218,-3.9318616,,
197008,0.53,4.49,1.52,1.15,0.56,-0.21,-6.55,-0.8617,-3.2704,-2.1536,-0.5009271,-5.7006241,,
197009,0.54,4.18,8.51,-5.47,0.3,-5.83,-8.8,-4.5548,-1.3443,-5.5793,-7.8029601,-5.6553051,,
197010,0.46,-2.28,-4.43,0.22,1.71,2.34,9.42,2.9696,5.4758,4.1378,3.5312635,8.24681215,,
197011,0.46,4.6,-3.86,1.69,1.57,1.47,2.73,1.0459,1.0649,2.3885,2.48796567,-0.7198038,,
197012,0.42,5.72,2.94,1,0.27,0.3,-2.23,0.4188,-1.469,-0.3391,-0.5564022,-2.0173632,,
197101,0.38,4.84,7.54,1.33,-1.99,0.07,-6.51,-0.3554,-4.3275,-3.3915,-2.2048003,-6.8367652,,
197102,0.33,1.41,2.04,-1.23,0.62,-0.7,0.79,0.5393,2.4506,0.8035,0.12207091,1.8808382,,
197103,0.3,4.13,2.26,-3.95,1.82,-2.71,-1.41,-2.0113,1.9334,-0.2298,-2.6292006,1.59006696,,
197104,0.28,3.15,-0.36,0.69,-1.47,0.87,1.41,1.2726,-1.2082,-0.9662,0.51491367,3.30299086,,
197105,0.29,-3.98,-1.11,-1.44,1.4,0.25,0.86,0.8992,1.4113,0.9227,-0.7348721,2.89053615,,
197106,0.37,-0.1,-1.48,-1.87,1.53,-1.64,2.73,-0.6543,4.3498,2.268,-3.1152498,1.15240878,,
197107,0.4,-4.5,-1.39,0.02,0.64,1.46,-2.35,2.4409,2.6442,0.9187,1.57396611,-1.3146279,,
197108,0.47,3.79,-0.16,2.63,-0.43,2.64,3.61,1.6632,-3.3217,-0.0862,2.38023203,4.05451556,,
197109,0.37,-0.85,0.28,-2.91,2.56,-1.58,2.12,0.068,2.7583,1.2805,-0.8559284,2.9980726,,
197110,0.37,-4.42,-1.6,-0.48,1.62,-1.35,0.47,-0.6717,1.9473,2.207,0.00950957,-0.7404125,,
197111,0.37,-0.46,-2.86,-1.68,2.44,-0.34,1.51,-0.2867,1.4712,1.5536,1.19813315,1.32259088,,
197112,0.37,8.71,3.27,-0.4,-0.4,-1.75,-0.58,-2.01,-1.175,-1.4645,-3.8804638,-0.2756746,,
197201,0.29,2.49,6.1,2.24,-1.69,0.55,0.17,-0.0273,-6.8199,1.8662,0.39944148,1.81717749,,
197202,0.25,2.87,0.87,-2.79,1.61,-0.52,2.54,1.9924,1.0235,-0.435,-1.3132842,4.40182292,,
197203,0.27,0.63,-0.43,-1.61,1.63,-0.18,2.94,1.7616,2.1599,1.6356,0.49694698,0.88881217,,
197204,0.29,0.29,0.23,0.12,-0.42,-1.03,2.81,0.27,0.7183,0.2067,-1.4577047,1.06885824,,
197205,0.3,1.25,-3.1,-2.7,2.34,-1.95,3.29,-1.7459,1.8952,1.2866,-1.4133078,3.86654358,,
197206,0.29,-2.43,-0.43,-2.48,1.88,-0.36,1.9,-0.1612,3.4718,1.6544,0.62686088,2.33317838,,
197207,0.31,-0.8,-2.77,0.66,1.14,-0.66,2.75,-0.3931,2.1954,3.3015,3.22911278,0.74002203,0.73,1.98
197208,0.29,3.26,-3.48,4.54,-1.96,2.85,-5.4,3.6277,-1.443,0.8169,3.6460756,-5.2761202,-0.73,3.79
197209,0.34,-1.14,-2.23,0.46,1.68,-1.97,1.82,-1.0033,2.1667,0.4424,-0.3784876,1.74694173,-0.32,1.30
197210,0.4,0.52,-2.54,1.34,-0.15,0.02,0.71,-0.418,-0.5148,0.5797,0.59659607,-2.1573016,1.86,3.09
197211,0.37,4.6,-0.62,4.85,-1.95,3.37,-5.09,2.4945,-4.1021,0.6461,2.07977731,-4.7259515,1.85,0.31
197212,0.37,0.62,-1.89,-2.19,2.6,-2.16,4.92,-1.3273,3.0319,1.7622,0.20534275,5.1018089,1.70,-0.16
197301,0.44,-3.29,-2.81,2.68,0.42,0.9,3.73,0.3368,-0.571,3.444,3.15145759,1.89421735,-3.62,7.78
197302,0.41,-4.85,-3.91,1.6,-0.26,0.02,2.16,0.1236,-1.0831,1.6486,2.70937486,-0.2827273,1.42,4.19
197303,0.46,-1.3,-2.33,2.62,-1.07,0.62,3.59,0.6328,-1.8388,3.2647,3.792884,-0.360424,0.64,3.10
197304,0.52,-5.68,-2.9,5.41,-1.58,2.6,6.36,3.0786,-0.6049,4.1684,5.67847715,3.19875075,1.50,9.61
197305,0.51,-2.94,-6.17,0.41,1.95,-1.57,7.14,-0.5129,1.4353,1.5193,1.00815569,4.7221634,-0.01,1.51
197306,0.51,-1.57,-2.48,1.2,-0.21,0.11,4.3,0.4562,-0.0012,2.9751,3.17317278,1.73783308,2.62,4.60
197307,0.64,5.05,7.26,-5.31,-0.05,-3.28,-11.57,-5.6569,1.3051,-4.1545,-6.4247242,-4.2146427,-1.85,-11.36
197308,0.7,-3.82,-1.84,1.24,-1.31,1.3,3.46,1.7695,1.6194,1.4998,1.30222037,1.20419795,3.02,2.86
197309,0.68,4.75,3.6,2.01,-2.33,1.77,-7,2.0999,-1.6754,-1.5858,-0.7660261,-6.660871,1.18,-3.86
197310,0.65,-0.83,-0.38,1.94,-1.9,2.71,6.87,2.8796,0.8763,4.0331,4.06269331,2.44980177,2.46,4.53
197311,0.56,-12.75,-7.28,3.87,-2.63,1.73,8.66,2.3008,-0.7897,2.2419,7.17043946,2.02146653,4.50,8.84
197312,0.64,0.61,-4.69,3.85,-2.78,2.48,10.38,2.2193,3.3276,4.4647,1.36168542,0.3399942,4.88,6.69
197401,0.63,-0.17,10.41,6.02,-3.07,4.42,-8.85,2.3603,-4.4602,-0.4965,1.7618285,-5.6217762,-0.65,-2.56
197402,0.58,-0.47,0.06,2.81,-1.87,2.63,0.32,2.0538,-1.2343,1.4282,2.7529831,-1.1331405,-0.16,1.78
197403,0.56,-2.81,2.65,-0.32,2.8,0.44,-1.05,-0.0175,1.8657,1.07,0.90636338,1.55503522,0.78,1.32
197404,0.75,-5.29,-0.7,0.85,2.87,2.09,2.11,2.3712,2.2928,2.4687,3.87616242,3.56027776,2.02,2.81
197405,0.75,-4.68,-3.07,-2.02,4.95,-0.42,-0.39,-0.4303,2.2588,0.3093,-0.6414117,6.15078124,-0.61,2.26
197406,0.6,-2.83,0,0.77,0.57,2.94,2.31,1.5566,1.5503,2.0198,2.68092784,6.84531223,0.76,3.15
197407,0.7,-8.05,1.92,5.16,-3.25,4.6,3.11,4.5057,2.5255,5.6961,4.53925608,-3.6256556,1.44,7.24
197408,0.6,-9.35,0.26,2.64,-0.28,2.59,3,3.2553,2.8417,4.9746,3.95523413,0.74195426,2.83,2.35
197409,0.81,-11.77,1.48,5.58,-4.44,5.91,4.24,4.932,-2.2989,3.5397,6.32667255,-4.0643201,2.80,7.48
197410,0.51,16.1,-6.82,-9.87,-0.21,-2.86,-0.54,-1.487,8.8612,0.9698,-6.9389752,-0.609112,3.85,-9.25
197411,0.54,-4.51,-1.48,-0.2,-3.37,2.92,2.13,2.7406,1.7617,1.3955,2.19291367,-0.9292238,2.54,0.80
197412,0.7,-3.45,-4.35,0.11,-0.68,3.25,2.92,2.1538,0.422,1.9734,4.79797754,0.11079476,1.79,2.67
197501,0.58,13.66,12.91,8.28,-0.78,-0.9,-13.82,-0.7205,-11.6191,-5.4952,-0.1148158,-10.6821882,-5.74,0.99
197502,0.43,5.56,-0.65,-4.44,1.16,-2.1,-0.61,-1.7234,3.6003,0.574,-2.1976643,5.58510776,0.89,-2.21
197503,0.41,2.66,4,2.38,1.26,-1.33,-2.04,-0.5984,-1.767,-1.8094,-2.6375675,2.88898968,0.72,-2.01
197504,0.44,4.23,-0.71,-1.14,1.41,-1.34,1.38,-0.0936,3.3983,2.2158,-1.420845,3.21547756,2.03,-2.62
197505,0.44,5.19,2.89,-4.1,-0.98,-0.6,-0.58,-0.1525,-0.2663,0.0244,-2.9473612,0.68930716,-0.50,-3.33
197506,0.41,4.83,1.43,1.38,-2.66,1.06,0.04,0.3354,-1.6419,-0.6996,2.09197403,-4.0270554,-0.34,-1.40
197507,0.48,-6.59,3.44,1.69,0.46,1.22,0.42,1.4598,-1.4083,1.7789,1.7215783,-0.4703811,-0.10,1.61
197508,0.48,-2.85,-2.84,-0.95,1.11,-0.93,-0.1,-0.1403,0.6873,1.3673,1.13116825,1.82293158,0.11,4.37
197509,0.53,-4.26,0.05,0.39,0.53,0.55,0.41,1.3668,1.677,3.2839,0.54870129,2.83262109,2.66,1.03
197510,0.56,5.31,-4.23,0.28,-0.49,2.26,-0.16,3.1196,2.5741,2.5221,1.45786699,2.29303787,2.55,0.03
197511,0.41,2.64,-1.09,2.03,-0.68,1.75,-0.45,1.5571,0.6959,1.6136,1.20550792,1.02736053,3.14,2.51
197512,0.48,-1.6,-0.05,1.69,-0.09,0.57,-0.11,0.0111,-2.2596,0.4872,1.3991125,-2.9297861,-0.47,0.55
197601,0.47,12.16,6.34,8.63,-1.79,2.28,4.45,1.3805,-2.6249,0.941,2.70814131,1.09483915,0.78,4.09
197602,0.34,0.32,7.99,5.87,-2.64,3.87,0.38,2.2167,-3.6997,0.8386,4.29631469,-1.138485,0.62,2.00
197603,0.4,2.32,-1.38,-0.12,-0.33,0.96,0.15,1.7776,2.411,1.5931,0.55491213,0.36156725,-0.44,-0.89
197604,0.42,-1.49,0.08,-0.16,0.4,-1.1,0.59,-0.9555,-0.2693,-0.0135,-1.5288241,-0.7193092,0.83,2.57
197605,0.37,-1.34,-1.1,-1.36,2.46,-1.41,-1.12,-0.9846,0.4517,0.4205,0.1219152,-0.1621289,0.97,-0.68
197606,0.43,4.05,-1.07,0.71,-0.68,1.02,-0.42,1.3001,-0.0271,0.9209,0.47251594,-2.1722195,0.41,-0.31
197607,0.47,-1.07,0.63,1.73,-1.05,0.28,-0.13,0.8559,0.7259,1.63,1.94527554,-1.5126663,1.97,1.71
197608,0.42,-0.56,-1.98,0.81,-0.42,-0.55,-0.85,-0.5939,-0.0105,0.6296,0.91863733,0.01043644,0.08,0.64
197609,0.44,2.07,0.1,-0.29,0.98,-1.15,0.22,-1.4853,1.0646,0.9911,-0.2099246,1.04399321,0.60,-1.14
197610,0.41,-2.42,0.13,-0.18,-0.19,-0.37,-0.44,-1.0682,0.3201,-0.5163,0.21328873,-2.0396023,0.57,-0.05
197611,0.4,0.36,2.66,1.51,-1.41,0.09,2.91,-0.3773,-0.6261,0.1132,-0.365717,-0.7671567,2.08,-0.16
197612,0.4,5.65,3.64,2.27,-0.61,2.28,0.73,1.7912,-1.0562,1.1166,2.92437426,-2.3066064,-0.24,1.72
197701,0.36,-4.05,5.9,4.27,-0.51,1.97,4,1.0172,-2.1629,1.6572,3.0404142,-0.8092512,0.83,1.92
197702,0.35,-1.94,1.07,0.47,-0.16,-0.22,0.36,0.0981,1.237,0.4244,1.04710445,1.20922042,-0.40,0.64
197703,0.38,-1.37,1.31,1.09,-0.3,-0.06,0.55,-0.2503,0.3138,-0.3321,-0.6518873,-0.4107533,0.98,-0.60
197704,0.38,0.15,0.61,3.38,-2.01,1.14,4.21,1.1605,0.3746,0.7834,1.08619482,-0.9552296,1.43,2.67
197705,0.37,-1.45,1.31,0.85,0.33,0.19,2.03,0.2215,1.7144,2.6935,0.56529735,-0.0479587,2.63,1.38
197706,0.4,4.71,2.08,-0.74,0.91,-1.2,1.66,-0.7125,2.3354,2.9427,-0.9977358,1.00160218,0.25,-3.50
197707,0.42,-1.69,1.88,-0.56,0.73,0.09,0.32,1.0573,1.6654,2.4073,1.11248439,0.31831087,-0.78,-1.80
197708,0.44,-1.75,0.86,-2.7,0.98,-0.66,-1.7,-0.8401,1.421,-0.1136,-0.6110231,2.6610632,1.93,-0.43
197709,0.43,-0.27,1.43,-0.52,1.43,-0.84,2,-0.0956,1.4313,1.5155,-0.1179169,1.72791329,1.09,-0.71
197710,0.49,-4.38,1.48,1.75,-0.2,-0.3,-0.08,-0.6125,-1.0334,1.1568,0.8144809,0.37567984,-0.82,1.70
197711,0.5,4,3.64,0.26,-0.13,0.73,2.01,1.2408,2.6072,1.4818,-0.9636226,1.68150876,3.43,1.51
197712,0.49,0.27,1.59,-0.29,0.92,-0.69,1.58,0.1312,1.3266,1.8425,-0.6897661,1.97672032,1.24,0.47
197801,0.49,-6.01,2.72,3.36,-1.72,1.52,-0.66,0.9316,-1.8024,0.1592,2.49624319,-1.2496779,0.47,2.11
197802,0.46,-1.38,3.7,0.83,0.3,1.01,1.97,1.3398,0.0059,1.6506,1.44014871,-0.3292558,-0.90,1.37
197803,0.53,2.85,3.71,1.18,-0.59,1.89,1.37,2.4596,0.178,0.0973,1.60003576,-0.6683757,1.33,1.37
197804,0.54,7.88,-0.26,-3.54,2.81,-1.26,0.86,-0.3298,5.6669,0.5831,-1.1758669,3.07433781,0.70,1.42
197805,0.51,1.76,4.58,-0.52,0.22,0.41,2.83,0.8051,0.4743,0.7376,-2.2048205,3.35559442,0.81,1.98
197806,0.54,-1.69,1.56,0.57,-1.4,-0.07,2.74,0.4821,1.3479,1.1232,-0.9991557,0.96106691,1.49,-0.84
197807,0.56,5.11,0.12,-1.15,1.55,-0.78,4.17,0.3971,1.6329,2.6963,0.52211372,2.96454567,3.27,1.13
197808,0.56,3.75,4.95,-0.51,1.43,0.46,2.83,1.196,2.0147,0.6661,0.09299864,2.25924301,0.55,5.67
197809,0.62,-1.43,-0.32,1.89,-0.67,1.78,-3.14,0.4468,-3.4045,-0.8352,1.07081293,-2.7084521,-2.10,-0.94
197810,0.68,-11.91,-10.02,1.38,0.12,0.94,-8.46,-0.5956,-2.2443,0.9893,4.72714445,-2.7731356,-0.72,0.82
197811,0.7,2.71,2.81,-2.15,1.13,-1.17,5.45,-0.8624,1.31,1.5057,-3.6024924,3.52691976,-1.96,-1.83
197812,0.78,0.88,1.13,-2.13,2.01,-1.32,3.03,-1.7856,1.9383,2.5046,0.08301634,3.11190321,0.85,0.71
197901,0.77,4.23,3.78,2.19,-2.47,1.52,-1.36,2.1569,-0.7747,-1.3434,-0.9235307,-1.6818795,-1.71,2.35
197902,0.73,-3.56,0.54,1.17,-1.12,0.94,-1.06,-0.1889,-2.2888,0.5501,1.35024856,-1.2701992,1.17,0.55
197903,0.81,5.68,3.24,-0.71,0.53,0.32,2.93,1.3599,2.7614,0.6033,-2.070673,1.25647806,1.09,1.98
197904,0.8,-0.06,2.37,1.12,1.08,0.17,0.81,1.0161,2.162,-0.3026,0.44379092,1.06012397,-0.13,1.52
