date,RF,Mkt-RF,SMB,HML,RMW,CMA,UMD,IA,ROE,EG,MGMT,PERF,PEAD,FIN
197905,0.82,-2.21,0.18,1.31,-1.54,-0.27,-0.54,-0.0723,-0.8405,0.543,0.6691111,-0.0754465,-0.80,-1.10
197906,0.81,3.85,1,1.44,-1.66,-0.52,0.84,-0.642,-0.9832,-1.8183,-0.1417508,-4.3574681,1.83,-2.28
197907,0.77,0.82,1.27,1.86,-0.29,0.71,-1.07,0.7427,0.5163,-0.4344,0.5229147,-1.8016799,-0.01,2.38
197908,0.77,5.53,1.92,-1.58,1.62,-1.48,-0.2,-0.3503,2.9616,0.0183,-2.7127409,2.53847237,0.44,0.62
197909,0.83,-0.82,-0.32,-0.9,1.01,0.32,5.28,0.1081,0.7035,2.9999,0.72147881,3.29009511,0.54,-0.74
197910,0.87,-8.1,-3.5,-1.84,1.01,0.07,2.01,0.072,1.0303,1.6857,0.33967103,2.82819483,-0.37,-1.28
197911,0.99,5.21,2.53,-3.29,0.06,-2.12,8.14,-2.3923,2.3423,-0.3321,-4.0573071,2.67851888,1.46,-2.45
197912,0.95,1.79,4.32,-2.1,-0.7,-0.92,4.78,-1.0325,1.1576,-0.1427,-1.1585057,3.28725765,0.92,1.09
198001,0.8,5.51,1.83,1.75,-1.7,1.64,7.55,1.6011,1.6908,0.5075,0.99803448,4.14923754,1.31,0.98
198002,0.89,-1.22,-1.57,0.61,0.04,2.68,7.88,1.7384,2.2085,3.5215,1.59019254,6.31828771,5.35,1.07
198003,1.21,-12.9,-6.93,-1.01,1.46,-1.19,-9.55,0.4902,-1.0561,-0.8975,0.6559464,-6.4354891,-2.87,-0.09
198004,1.26,3.97,1.05,1.06,-2.1,0.29,-0.43,1.292,0.1315,1.527,-1.4342116,-4.420135,0.89,-4.20
198005,0.81,5.26,2.11,0.38,0.34,-0.31,-1.12,-1.4097,-0.9435,-0.8711,-1.1940841,-0.9460453,0.54,3.66
198006,0.61,3.06,1.41,-0.76,-0.15,-1.26,1.62,-0.8706,2.8361,0.7824,-0.8448785,0.37738227,0.38,0.60
198007,0.53,6.49,3.82,-6.41,4.06,-2.43,0.39,-2.0836,-0.376,-3.2905,-3.1554024,4.53549361,-1.07,0.18
198008,0.64,1.8,4.25,-2.6,2.06,-0.86,3.21,0.574,2.5483,1.6329,-2.4048989,3.81267999,1.22,0.83
198009,0.75,2.19,0.67,-4.59,1.91,-2.76,5.39,-0.4471,5.2169,2.3899,-4.250359,4.99620504,0.45,-0.77
198010,0.95,1.06,2.33,-2.76,1.65,-1.15,7.3,0.5273,4.1939,2.6902,-2.0423317,4.09559391,1.98,-2.20
198011,0.96,9.59,-3.31,-8.33,4.5,-5.66,15.22,-1.9974,9.0598,0.5686,-7.204375,9.70704354,-3.10,-5.16
198012,1.31,-4.52,-0.29,2.79,-1.29,1.24,-6.68,0.935,-1.2569,0.0925,3.02006495,-6.7623791,0.46,1.44
198101,1.04,-5.04,3.29,6.72,-3.51,4.33,-7.95,2.4815,-4.9423,0.7415,7.0427066,-4.4600849,3.56,4.07
198102,1.07,0.57,-0.5,1.02,0.21,2.22,-1.35,1.8542,0.789,1.6319,3.60408919,-0.4504024,1.99,3.23
198103,1.21,3.56,3.02,0.64,-2.24,-0.54,0.74,-1.8348,-1.4715,-1.87,-0.1357312,-0.036435,1.03,3.57
198104,1.08,-2.11,4.59,2.28,0.83,1.24,-0.91,2.4423,1.3085,1.0692,1.04696306,1.30827559,1.59,2.09
198105,1.15,0.11,2.45,-0.42,0.3,-1.53,3.7,-0.4474,-0.1153,1.7028,-1.1769827,1.51440326,1.19,0.52
198106,1.35,-2.36,-0.96,5.13,-1.37,2.66,-5.81,2.69,0.0218,1.7127,4.85728346,-4.4906896,0.02,3.53
198107,1.24,-1.54,-2.05,-0.5,1.26,-2.54,-2.45,-2.0459,3.0661,-0.5199,-1.3084863,-0.2468332,0.08,-1.04
198108,1.28,-7.04,-1.81,4.76,-0.32,1.41,-1.15,1.4792,0.6495,2.5305,3.05713005,-1.4975303,-0.31,3.94
198109,1.24,-7.17,-2.45,5.17,0.08,2.63,1.95,3.203,0.4439,3.9584,4.76891024,0.15733305,0.70,4.18
198110,1.21,4.92,2.37,-4.21,3.15,-3.01,4.01,-1.0688,4.7505,-1.2313,-2.1338036,1.72645892,3.27,-4.82
198111,1.07,3.36,-1.51,1.83,0.08,0.95,-0.27,0.8717,0.8913,2.1547,1.84389306,-1.2517309,-1.04,3.08
198112,0.87,-3.65,1.2,0.81,0.22,2.5,1.3,1.8257,-0.4884,1.3495,2.80419547,2.59077941,-0.25,1.48
198201,0.8,-3.24,-1.14,3.19,-1.49,1.92,1.72,1.8289,-1.5697,0.6537,3.29894383,1.95071397,0.51,3.45
198202,0.92,-5.86,0.35,6.05,-3.48,4.56,4.88,4.6477,0.2604,2.9919,5.68659646,1.1411971,2.09,4.29
198203,0.98,-1.87,-0.05,3.81,-1.38,2.49,2.96,1.8158,-1.7187,2.6123,3.31914071,0.18354658,-0.35,4.16
198204,1.13,3.27,1.09,-2.7,1.57,-0.01,-0.4,1.1523,1.9335,0.5208,-1.7546191,2.45177413,1.57,-2.32
198205,1.06,-3.99,0.64,1.75,0.87,-0.3,2.5,-0.4864,-0.4619,1.0849,2.25005225,2.1541221,0.49,2.11
198206,0.96,-3.09,-0.52,1.53,0.01,2.72,4.96,2.402,-0.3307,3.2813,3.55855268,1.94334743,2.56,4.42
198207,1.05,-3.19,0.95,0.09,1.04,1.55,4.45,2.033,2.6567,3.9233,1.82618732,5.01133505,3.00,0.81
198208,0.76,11.14,-4.35,0.95,-1.89,0.09,-3.52,-0.2313,-1.113,-2.716,-1.9366675,-0.9434054,-1.00,-4.12
198209,0.51,1.29,2.61,0.28,2.14,-0.04,4.19,0.8538,3.3642,3.4851,3.1442003,0.83598821,1.95,3.96
198210,0.59,11.3,1.92,-3.66,0.29,-0.34,0.18,-0.9357,-0.7816,-0.6333,-3.7917083,-2.6160125,0.00,-6.30
198211,0.63,4.67,4.43,-1.87,-0.97,0.27,5.95,1.5525,3.282,3.9336,-1.0951124,4.91012856,5.35,-3.24
198212,0.67,0.55,-0.04,-0.02,-0.01,1.02,0.04,0.6593,-0.6188,0.0635,0.84563975,3.09181252,-2.95,2.33
198301,0.69,3.6,3.35,-0.75,-1.55,-0.58,-1.73,-0.4342,-2.1214,-1.7204,-1.9213675,0.30648692,1.45,-5.57
198302,0.62,2.59,2.92,0.7,-0.52,1.05,3.77,1.3022,3.0029,1.8809,1.84834584,3.34337238,1.50,2.96
198303,0.63,2.82,1.37,2.02,-0.17,2.74,0.92,2.9888,1.2355,2.0629,4.36328024,-2.3921764,0.53,4.08
198304,0.71,6.67,0.48,0.49,-0.11,1.42,1.72,2.2915,0.5902,2.3557,2.16203735,-0.8704373,0.72,2.13
198305,0.69,0.52,6.3,-1.4,-1.84,-1.51,-1.56,-1.4138,-3.5987,-3.7338,-3.1935589,-3.9697403,-0.41,-2.94
198306,0.67,3.07,1.18,-3.9,2.6,-0.87,1.8,-1.1767,1.5947,2.6379,-0.1390909,4.99280637,1.75,0.60
198307,0.74,-4.07,1.01,5.62,-0.14,2.81,-3.13,2.8941,1.2493,3.0759,4.25123213,-2.2403643,1.52,3.55
198308,0.76,-0.5,-4.32,5.54,0.51,1.9,-5.65,1.3062,-0.6707,0.3201,2.60499674,-2.5786534,-1.30,3.90
198309,0.76,0.91,0.3,1.01,1.24,0.5,-0.03,1.4393,3.2143,2.9507,1.12903883,1.034472,2.21,1.71
198310,0.76,-3.44,-3.77,4.97,-0.77,2.96,-4.52,2.7519,1.4329,3.7155,4.56087971,-1.0022674,1.83,4.25
198311,0.7,2.16,1.87,-0.72,-0.67,0.66,-0.13,1.0773,-0.1428,-1.7882,-0.4174964,-1.8190681,-0.04,-0.87
198312,0.73,-1.78,-0.45,1.73,1.64,1.27,0.84,1.3473,-1.5498,1.0921,4.55554011,-0.4624308,-0.06,4.11
198401,0.76,-1.92,-0.04,7.58,-0.89,2.92,-2.56,2.4216,-3.7825,0.9207,6.60665819,-5.44225,-1.55,7.57
198402,0.71,-4.82,-1.59,3.33,0.9,1.58,0.22,0.8081,-0.6922,0.767,3.12571155,0.27976134,3.12,7.08
198403,0.73,0.63,-0.29,0.46,-0.96,1.17,1.07,0.7438,-0.7087,1.3193,2.43397926,-0.7395207,-1.44,2.77
198404,0.81,-0.51,-0.95,1.2,3.34,0.76,2.07,1.1412,2.1254,2.4241,1.95646563,4.78746281,1.48,3.35
198405,0.78,-5.97,0.13,0.31,2.36,-0.46,1.51,-1.4779,1.8038,1.8653,1.01519859,4.8225577,-0.64,0.76
198406,0.75,1.82,0.11,-2.66,3.17,-1.56,-0.7,-2.224,1.7342,0.5022,-0.9900005,2.28779675,0.06,-0.94
198407,0.82,-2.74,-2.22,0.36,3.55,-2.15,2.85,-1.1333,3.5624,2.6832,1.59300519,3.21410301,0.16,1.36
198408,0.83,10.28,-0.26,-1.82,-0.68,-0.92,-5.59,-0.5642,0.9595,0.2173,-3.6023028,-4.0796818,-2.70,-3.64
198409,0.86,-0.8,-0.03,5.28,1.37,2.41,3.62,2.6125,0.2634,1.2525,4.70600398,-1.770771,0.84,6.58
198410,1,-0.84,-1.44,0.45,1.18,-1.09,3.16,-0.1114,2.7274,1.6277,1.21193347,1.62087767,0.72,0.40
198411,0.73,-1.76,-1.02,4.06,0.72,2.06,1.64,2.2324,0.8237,1.603,3.09723349,0.04887632,1.55,4.29
198412,0.64,1.84,-0.65,-0.26,1.31,-1.36,1.49,-0.7952,2.5304,1.1563,-0.5782866,1.15211449,0.42,-1.02
198501,0.65,7.99,3.51,-5.35,-0.89,-3.41,-6.82,-3.5197,0.9805,-1.7202,-4.3100819,-2.3659534,-1.35,-6.23
198502,0.58,1.22,1.04,-0.1,1.29,1.06,1.88,1.0872,1.4508,2.1784,2.69276446,1.58789971,0.22,1.72
198503,0.62,-0.84,-1.39,4.07,1.23,2.88,1.58,3.2773,0.9209,2.142,4.35237671,-0.9169049,-0.36,6.03
198504,0.72,-0.96,-0.1,3.72,1.55,0.71,3.04,1.4232,0.1512,1.8619,3.40863836,-1.2671277,0.83,3.94
198505,0.66,5.09,-2.31,-0.96,1.33,-1.49,3.99,-1.1269,3.2405,1.5343,0.54962577,2.08702631,0.13,0.52
198506,0.55,1.27,0.35,0.38,1.76,-0.77,3.57,-0.1719,2.8203,1.7054,0.25647487,1.96048728,1.35,0.91
198507,0.62,-0.74,2.87,-1.62,-0.42,-0.38,-3.91,-0.718,-1.7551,1.3672,0.6750298,0.06305057,-0.41,-0.50
198508,0.55,-1.02,-0.29,2.32,-0.1,1.83,1.85,2.0278,0.4445,1.0229,2.91128485,0.05502637,0.20,2.70
198509,0.6,-4.54,-1.8,1.29,1.14,1.64,1.51,1.9335,1.1424,1.7368,5.03895144,2.27474579,1.38,5.71
198510,0.65,4.02,-1.5,0.75,0.89,-1.06,4.88,0.2661,2.21,2.8835,0.27095585,0.31413719,0.51,1.80
198511,0.61,6.48,0.02,-2.85,0.33,-2.32,-0.47,-1.682,1.7623,-0.9011,-2.3711712,2.21307722,-1.48,-1.50
198512,0.65,3.88,-0.41,-1.54,0.99,-1.8,-0.23,-1.4596,1.6959,-0.9985,-0.5056615,1.75635973,0.58,-0.64
198601,0.56,0.65,1.01,0.44,-2,-2.03,3,-0.724,1.6676,1.7846,-1.2081668,0.67857699,1.51,-2.97
198602,0.53,7.13,-0.71,-0.72,1.06,-1.2,2.76,-1.3847,2.2307,0.7408,0.80973898,0.64304892,2.25,0.15
198603,0.6,4.88,-0.66,-0.39,1.21,0.92,2.41,1.2226,2.0063,1.6661,1.0739917,0.59232034,0.25,0.87
198604,0.52,-1.31,2.84,-2.87,2.91,0.03,-0.37,-1.5692,0.628,-0.0194,-0.0071154,4.45825596,0.94,1.35
198605,0.49,4.62,-1.29,-0.21,2.13,1.08,2.05,1.3302,3.3736,0.9855,1.07591411,1.1979997,0.92,3.01
198606,0.52,1.03,-0.89,1.28,1.8,0.87,5.07,1.7528,5.2824,0.8718,-0.1360478,3.78913651,2.59,3.16
198607,0.52,-6.45,-3.46,4.7,-0.54,0.84,1.83,1.4526,3.1619,2.8576,3.39481285,2.25837994,0.81,2.42
198608,0.46,6.07,-4.35,3.51,-1.66,3.21,-5.28,3.0245,-2.7297,1.6651,3.09692186,-4.0284112,-0.10,1.21
198609,0.45,-8.6,2.05,3.22,-0.08,3.71,-5.79,3.2313,-3.9524,-0.3259,3.77405067,-3.8574537,-1.55,1.42
198610,0.46,4.66,-2.33,-1.42,-0.05,1,4.46,0.5689,1.4996,0.6009,-2.2076014,2.38311825,4.62,-0.72
198611,0.39,1.17,-1.88,-0.07,1.09,0.67,-0.26,0.4243,1.1473,3.7063,1.89398476,3.59542807,0.76,3.01
198612,0.49,-3.27,0.12,0.36,0.79,0.09,0.35,1.0661,1.8831,1.6472,1.08982721,0.68560795,0.91,1.51
198701,0.42,12.47,-1.54,-3.16,0.17,-1,2.2,-1.2538,0.9991,2.9428,-0.1572061,4.77885607,4.23,0.25
198702,0.43,4.39,3.4,-5.91,-0.76,-2.66,-2.07,-1.9012,2.101,-0.5604,-3.8049769,1.61073441,-0.23,-2.44
198703,0.47,1.64,0.28,1.61,1.36,4.14,1.68,4.2147,-1.121,1.3151,3.61144727,1.46814924,-1.07,4.18
198704,0.44,-2.11,-1.54,-0.39,-0.49,1.05,0.22,0.3763,-1.3785,0.6453,2.23548274,2.36403233,1.39,1.22
198705,0.38,0.11,-0.56,0.23,0.51,1.14,-0.74,-0.1171,-2.3334,-0.2235,1.14063295,0.79356289,0.34,0.07
198706,0.48,3.94,-2.21,1.04,1.7,0.84,-0.25,1.4229,1.4697,-0.2278,1.25285339,-0.8937013,-0.81,3.17
198707,0.46,3.85,-1.14,0.68,-0.61,1.61,2.72,0.1261,-1.8073,-0.6309,1.0126748,1.97188922,-0.28,1.70
198708,0.47,3.52,-0.94,-0.93,2.04,-1.61,-0.86,-0.2372,3.7936,2.5282,-0.8078316,0.93790185,-0.36,-2.25
198709,0.45,-2.59,0.38,0.27,-0.97,1.87,0.77,1.9149,0.5872,1.8374,2.38472532,0.66858373,2.49,0.60
198710,0.6,-23.24,-8.07,4.24,2.04,2.34,-7.86,3.3551,0.3344,2.6169,7.30073652,-1.7620696,-0.62,4.72
198711,0.35,-7.77,2.85,2.95,-1.88,0.68,-1.17,0.5998,-0.6687,0.8926,1.59004434,-0.8764053,-0.81,1.92
198712,0.39,6.81,0.06,-4.43,2.96,-2.42,5.87,-2.426,3.8843,1.674,-5.4848844,6.65697397,-1.80,-2.92
198801,0.29,4.21,-0.51,5.01,-1.14,2.13,-7.24,1.3194,-4.0669,-1.7562,3.01041572,-8.5058548,3.34,3.57
198802,0.46,4.75,3.32,-1.71,1.56,-0.01,-1.47,-0.6254,1.0352,-0.5616,-2.0792197,1.74141561,-1.01,1.10
198803,0.44,-2.27,6.25,0.73,-0.25,1.8,0.58,1.6772,-2.1555,-2.028,1.19552018,1.84847326,3.15,3.33
198804,0.46,0.56,1.16,1.67,-0.2,1.92,2.24,2.1312,0.644,0.9061,0.9476627,1.59085516,0.70,1.16
198805,0.51,-0.29,-2.56,2.42,-0.74,0.33,0.63,0.4677,-0.1678,1.3142,2.24684454,-2.9915416,0.27,1.77
198806,0.49,4.79,2.16,-1.24,1.47,-3.37,-2.93,-3.2454,2.2288,1.8257,-3.5557635,-0.284758,0.75,-3.12
198807,0.51,-1.25,-0.21,2.22,-0.58,1.52,0.66,1.1077,-1.134,0.0197,2.67654765,-2.6359095,1.06,2.15
198808,0.59,-3.31,-0.03,2.15,-0.82,1.76,0.35,1.6686,-2.1518,-0.1886,2.82468228,-3.3439472,2.07,2.46
198809,0.62,3.3,-1.36,-0.75,1.76,-0.61,0.27,-0.42,2.1771,0.819,0.49311569,0.10747616,-0.06,1.70
198810,0.61,1.15,-2.95,2.05,1.3,1.03,1.33,0.5013,0.056,0.6653,2.41660636,0.17353843,1.00,4.69
198811,0.57,-2.29,-1.65,1.41,-0.28,1.62,0.33,1.3928,-0.4884,0.3746,1.29018078,0.5063749,1.07,2.41
198812,0.63,1.49,2.01,-1.69,0.69,-0.38,0.49,0.4539,0.7818,0.5134,-1.8694401,3.26552113,-1.23,-1.12
198901,0.55,6.1,-2.31,0.6,-0.95,0.14,-0.16,0.0107,-0.3507,1.5548,-0.2662299,-0.9263578,0.16,-1.90
198902,0.61,-2.25,2.71,1.01,-0.87,1.81,0.99,1.5631,-0.4588,-0.1586,1.01993813,-0.4617771,-0.25,-0.07
198903,0.67,1.57,0.68,0.58,0.05,0.72,3.51,1.2637,-0.142,0.7382,1.3435034,-1.0578818,1.37,0.28
198904,0.67,4.33,-0.78,-1.42,0.71,-0.57,1.77,-0.2841,1.1641,-0.2715,-1.927159,1.8710873,1.47,0.50
198905,0.79,3.35,-0.01,-0.88,0.49,-0.08,1.52,0.1016,1.1975,0.366,-1.2464987,1.02475758,1.98,-0.28
198906,0.71,-1.35,-1.09,2.25,0.27,1.56,0.43,1.593,-0.1521,-0.9466,2.33439828,-2.8172123,-0.67,4.29
198907,0.7,7.2,-4.15,-2.79,1.98,-0.58,5.41,-0.4503,4.9063,2.4612,0.46137314,3.68573519,3.35,2.42
198908,0.74,1.44,0.48,0.6,0.39,-0.58,-0.12,-0.4255,1.6506,0.1478,-0.5668114,-1.1646264,0.27,1.09
198909,0.65,-0.76,0.49,-1.27,1.4,0.5,3.4,1.1982,1.6439,1.9118,0.87108124,1.48221396,0.05,0.75
198910,0.68,-3.67,-3.3,-1.11,0.11,-0.04,1.32,1.2994,1.4077,2.335,0.6693426,4.61567506,0.00,1.84
198911,0.69,1.03,-1.29,-1.09,-0.86,1.41,2.6,1.6323,0.2405,-0.6582,1.18771365,2.71234268,0.72,1.15
198912,0.61,1.16,-2.27,0.16,-0.07,1.42,2.8,1.5752,1.0677,2.4137,1.4751352,3.24780477,1.40,0.54
199001,0.57,-7.85,-1.31,0.85,-1.17,1.35,-3.27,0.925,0.0355,-0.2262,0.28783928,1.58851531,0.15,0.81
199002,0.57,1.11,1.17,0.64,-0.03,-0.66,-0.55,-1.0948,-0.3925,0.0956,-1.5959237,-0.8009212,1.49,-1.57
199003,0.64,1.83,1.62,-2.92,2.04,-1.02,1.8,-0.3645,2.2864,1.6703,-2.1026174,5.5525021,0.95,-0.39
199004,0.69,-3.36,-0.33,-2.59,1.78,-0.98,2.39,-0.7918,1.9801,0.6246,-0.783876,3.89011174,0.95,-0.68
199005,0.68,8.42,-2.35,-3.83,1.57,-1.68,3.03,-0.8618,3.7369,2.6144,-3.9954206,3.41381771,1.75,-3.26
199006,0.63,-1.09,1.35,-1.93,-1.03,-0.39,2.4,0.2453,2.2253,-0.2721,-1.3590717,3.75605526,1.26,-0.82
199007,0.68,-1.9,-3.16,-0.03,-0.18,3.21,6.1,4.0112,2.5571,-0.0068,2.92177607,3.89567961,1.24,3.92
199008,0.66,-10.15,-3.87,1.64,-0.35,2.96,1.88,3.7203,-0.9983,1.2731,4.86614886,0.85630016,2.21,3.16
199009,0.6,-6.12,-3.74,0.64,0.06,3.67,5.78,2.6212,-0.4552,2.7381,4.44727851,5.9956385,4.16,2.90
199010,0.68,-1.92,-5.12,0.1,2.97,-0.3,6.71,0.2605,2.077,3.0536,0.40611526,7.09840771,2.82,1.92
199011,0.57,6.35,0.07,-3.1,0.65,-4.74,-5.48,-3.9833,1.5215,-0.8312,-4.5650904,-4.3978447,1.12,-3.07
199012,0.6,2.46,0.67,-1.7,2.73,-1.89,0.29,-1.9466,3.8535,1.4665,-2.2225514,0.89007721,-0.63,1.97
199101,0.52,4.69,3.91,-1.6,1.28,-3.99,-6.45,-3.9503,0.1591,1.5865,-3.1420812,-0.3612491,4.94,-5.64
199102,0.48,7.19,3.94,-0.58,-0.2,-0.33,-4.61,0.1463,-1.2402,-0.6779,-0.7954193,-3.6773808,-1.27,-3.13
199103,0.44,2.65,3.83,-1.39,-0.53,-1.06,2.87,-0.9285,1.6779,0.0366,-3.4920539,0.93081605,2.62,-0.67
199104,0.53,-0.28,0.31,1.5,0.62,0.74,-2.36,0.4677,1.3981,0.6157,1.23201225,-1.0833346,0.76,1.23
199105,0.47,3.65,0.14,-0.52,2,-2.43,-0.11,-1.9526,-0.7118,-1.0619,-0.3307925,-1.2594495,0.71,-0.53
199106,0.42,-4.94,0.24,1.15,1.79,0.65,0.47,0.6135,1.3683,0.4831,2.3409824,0.52906024,0.18,4.14
199107,0.49,4.24,-0.96,-1.32,1.6,-1.36,4.32,-0.6418,3.0468,0.3864,-1.5353269,3.83931183,1.00,-2.31
199108,0.46,2.32,1.4,-0.78,0.84,-0.34,1.57,-0.0359,1.1586,-0.2496,-2.0748803,1.78746432,1.24,-2.68
199109,0.46,-1.59,1.56,-1.08,-1.82,0.08,1.79,-0.8242,-0.3644,0.2084,0.50322987,0.24265347,0.17,0.52
199110,0.42,1.29,0.91,-0.47,-1.7,-0.23,3.06,1.3518,-0.0451,3.2018,1.80783622,1.74610645,1.43,-1.24
199111,0.39,-4.19,-0.83,-1.89,1.11,0.01,1.14,0.3063,3.2845,0.3457,-1.9161673,4.03719311,2.26,0.14
199112,0.38,10.84,-2.4,-4.17,3.55,-3.12,8.19,-2.0278,6.7592,-0.4648,-2.8602044,7.03854157,2.73,-3.72
199201,0.34,-0.59,9.18,4.71,-1.32,3.2,-2.49,1.5044,-4.0675,1.5419,0.5305709,-5.0489782,-2.04,-4.79
199202,0.28,1.09,1.33,6.47,0.08,2.19,-0.53,2.2609,0.7464,2.2092,2.36646105,-2.6088665,1.95,0.60
199203,0.34,-2.66,-0.93,3.56,-0.01,1.95,-0.29,2.0114,1.0075,2.0118,4.45753728,-1.3113582,0.52,6.41
199204,0.32,1.07,-5.7,4.34,1.69,2.23,-2.58,1.8032,-1.7011,2.0023,6.35639688,-3.3343678,-0.28,8.54
199205,0.28,0.3,0.21,1.19,-0.95,0.48,0.21,0.2946,-0.2076,-0.7499,0.59465706,-0.7132186,1.43,0.10
199206,0.32,-2.34,-2.73,3.24,-0.05,1.01,-0.58,0.6498,1.0499,0.7786,1.94214481,-2.4620915,1.10,4.30
199207,0.31,3.77,-0.62,-0.56,1.3,-0.91,1.56,0.3915,2.5486,-0.024,0.26967511,1.70295562,0.74,0.33
199208,0.26,-2.38,-0.42,-1.1,3.72,-1.65,-0.51,-0.7708,1.5206,-0.8624,0.57292256,3.93310178,2.25,3.24
199209,0.26,1.19,0.48,-0.26,1.64,-0.59,1.49,-0.3975,2.3975,-0.8276,-0.1345332,1.28480549,2.47,0.28
199210,0.23,1.02,2.07,-1.98,1.24,-0.79,2.48,-0.3589,2.1272,0.61,-3.1257971,2.10839989,2.55,-2.31
199211,0.23,4.13,3.94,-1.35,-0.68,-1.59,-0.15,-1.1712,0.9448,-0.1423,-3.7025931,-1.0526126,1.25,-3.57
199212,0.28,1.53,1.68,2.62,-0.48,0.84,4.31,1.4108,1.8297,1.04,0.93034663,-0.9657652,1.73,1.87
199301,0.23,0.93,1.93,5.94,-1.84,2.91,4.83,2.9827,-1.4431,0.0495,2.25999568,-2.4731901,0.18,1.11
199302,0.22,0.12,-3.45,6.42,-0.42,4.13,3.14,3.6569,-1.4786,2.1469,5.41468817,-3.6017988,0.73,8.83
199303,0.25,2.3,0.09,1.18,-0.15,0.9,3.73,0.9273,1.7906,0.5639,0.78083311,0.52804937,2.50,0.41
199304,0.24,-3.05,-0.85,2.49,-3.61,1.38,0.38,1.201,-3.0656,1.9917,3.73175735,-3.0608181,0.16,2.34
199305,0.22,2.89,1.9,-3.42,-0.12,-1.04,0.22,-0.8479,-0.5601,-0.273,-2.3365176,2.27139906,0.75,-6.35
199306,0.25,0.31,0.13,2.75,-0.92,1.21,4.55,1.8188,3.004,1.4634,1.6843268,-2.284056,-0.27,-0.29
199307,0.24,-0.34,0.95,2.85,-1.87,2.06,3.16,1.4591,-0.5623,0.8502,3.8173704,-2.2555328,0.04,2.53
199308,0.25,3.71,0.1,0.13,-1.54,-0.04,2.65,-0.0614,0.4572,0.7642,0.05136919,1.38961096,0.63,0.04
199309,0.26,-0.12,2.98,-0.31,0.24,-0.16,3.37,0.2696,0.9427,1.3638,-0.3870027,2.8140248,2.61,-1.13
